1 510.27 319.67
2 125.47 178.93
3 279.73 195.27
4 520.67 403.53
5 435.8 265.47
6 494.8 226
7 524.8 261.47
8 513.2 316.33
9 462.47 327.8
10 330.6 141.53
11 357.07 282.73
12 409.33 237.2
13 80.87 42.2
14 408 254.73
15 511.53 314.53
16 11.87 180.13
17 373.13 266.2
18 176.47 32.33
19 310.33 266.13
20 449.33 285.47
21 412.67 199
22 453.73 317
23 304.6 59.07
24 378.07 253.8
25 475 188.2
26 523.73 145.4
27 408.2 277.8
28 422.2 260.6
29 425.27 86.8
30 94.33 41.87
31 137.8 150.27
32 523.07 328.2
33 331.53 160.4
34 391.4 280.13
35 486.33 325.8
36 488.07 228.6
37 471.73 220.13
38 83.53 38.67
39 43.93 88.73
40 381.33 254.87
41 337.87 92.67
42 509.53 136.53
43 23 98.4
44 527.27 260.8
45 211.6 175.13
46 494.4 130.2
47 513.33 323.6
48 385.2 254.2
49 290.93 224.13
50 368.8 66.53
51 491.33 239.2
52 215.53 155.27
53 30 84.93
54 212.6 160.73
55 15.73 232.93
56 100.2 24.13
57 523.2 357.2
58 516.8 314.73
59 215.27 220.8
60 451.93 284.87
61 354.33 237.13
62 16.67 238.53
63 502.87 195.27
64 548.6 127
65 460.73 286.4
66 496.8 222.6
67 487.6 115.93
68 494.87 251.73
69 505.07 327.67
70 518.13 332.6
71 359.53 23.67
72 516.87 170.93
73 270.4 104.27
74 27.53 89.2
75 397.33 213.8
76 523.2 303.07
77 409.07 82.87
78 532.33 110.47
79 21.13 231.73
80 484.73 263.2
81 489.93 281.27
82 496 206.67
83 61.33 204.33
84 364.8 98.8
85 290.27 284.13
86 456.53 180.8
87 282.93 59.73
88 379.8 217.93
89 423.93 86.53
90 93.73 50
91 364.6 0.67
92 141.73 143.33
93 573.67 98.6
94 527.27 205.33
95 469.73 117.13
96 510.67 261.6
97 381.27 223.47
98 482.53 197.13
99 424.4 266.8
100 469 115.53
101 455.53 241.2
102 490.67 285
103 484.47 318.6
104 503.13 366.87
105 375.8 103.87
106 127.87 188.8
107 481.07 278.67
108 377.73 60.93
109 307.07 297.87
110 378.47 203.27
111 13.27 249.53
112 495.27 249.13
113 534.2 234.87
114 36.8 101.73
115 431.2 203.33
116 528.13 243.67
117 514.93 347.33
118 483.93 308.67
119 392.07 187.8
120 304.93 256.2
121 286.2 252.53
122 216.33 85.4
123 443.4 102.27
124 545.6 112.33
125 402.93 189.87
126 369.53 269.47
127 507.8 314.93
128 469.93 171.33
129 88.13 38.67
130 409.87 227.53
131 289.47 264.4
132 385.87 70.2
133 487.67 145.4
134 444 279.53
135 474.07 285.87
136 475.4 205.4
137 459.4 271.67
138 445.73 154.13
139 340.73 237.93
140 230.73 181.2
141 493.87 235.6
142 477.33 291.33
143 378.53 249.47
144 305.6 176.2
145 432.53 275.2
146 367.07 114.6
147 415.8 288.8
148 308.93 270.27
149 328.6 186.87
150 467.67 155.53
151 400.53 274.47
152 473.6 167.33
153 193.87 112.07
154 71.47 58.87
155 373.07 59.47
156 90.73 42.47
157 453.2 240.67
158 344.53 280.53
159 339.87 92.93
160 524.93 360.33
161 35.73 232.07
162 417.2 90.27
163 511.13 240.53
164 511.6 305.27
165 312.93 233.47
166 302.47 209.53
167 226 46.53
168 360 230.73
169 479.93 231.27
170 66.2 72.27
171 521.4 363.8
172 453.53 125.73
173 278.27 146
174 355.73 262.87
175 352.73 195.27
176 527.53 352
177 420.47 153
178 489.2 298.73
179 323.8 223.93
180 500.2 205.73
181 490.07 258.47
182 347.13 249.47
183 513.47 321
184 425.8 200.53
185 318.67 246.27
186 522.73 254.53
187 441.13 195.2
188 447.53 232.53
189 510.27 225.13
190 282.13 236.73
191 520.2 239.87
192 410 259.2
193 344 234.47
194 416.07 284.53
195 356.67 191.13
196 489.67 263.4
197 518.87 327.47
198 299.73 256.27
199 59.53 77.4
200 428.13 188
201 421.8 249.67
202 397.6 262.33
203 539.87 116.4
204 525.27 249.53
205 63.47 238.87
206 474.93 269.27
207 30.93 118.2
208 521.13 283.47
209 513 214.67
